" Subject: Labour, Employment, Wages and Productivity ",,,,,,,,,,,
 Topic : Wages and Income from Work ,,,,,,,,,,,
" Title  : M182941 - Average Monthly Nominal Earnings Per Employee, Annual ",,,,,,,,,,,
, , , , , , , , , , ,Dollar
 Variables ,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Overall Economy ,"3,872","4,089","4,334","4,433","4,622","4,727","4,892","5,074","5,229","5,410","5,549"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"1) Average (mean) monthly earnings refer to all remuneration received before deduction of the employee Central Provident Fund (CPF) contributions and personal income tax.  It comprises basic wages, overtime pay, commissions, allowances and bonuses but exclude employer CPF contributions.  2) Data cover full-time and part-time employees who have CPF contributions.  They exclude identifiable self employed persons who have made CPF contribution.  3) For details of data limitation, please refer to note 3 of Table B.9 in the Singapore Yearbook of Manpower Statistics, 2016 (http://stats.mom.gov.sg/iMAS_Tables/YearBook/YearBook_2016/mrsd_2016YearBook_WtableB_9.xlsx)",,,,,,,,,,,
,,,,,,,,,,,
SOURCE: MINISTRY OF MANPOWER AND CENTRAL PROVIDENT FUND BOARD,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data last updated: 28/02/2020,,,,,,,,,,,
,,,,,,,,,,,
Generated by: SingStat Table Builder ,,,,,,,,,,,
Date generated: 31/05/2020,,,,,,,,,,,
Contact: info@singstat.gov.sg ,,,,,,,,,,,
