" Subject: Labour, Employment, Wages and Productivity ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Topic : Unemployment Rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Title  : M182341 - Unemployment Rate (End Of Period), Quarterly ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Per Cent
 Variables , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q 
 Total Unemployment Rate * ,3,4.1,2.9,2.1,2.1,2.8,1.8,2,1.8,2.7,1.8,1.8,1.9,2.6,1.7,1.6,1.8,2.6,1.6,1.6,1.9,2.6,1.7,1.6,1.7,2.6,1.7,1.6,1.8,2.8,1.8,1.9,2.1,2.9,1.9,1.8,1.9,2.7,1.9,1.9,2,3,2,2
 Resident Unemployment Rate * ,4.4,5.9,4.1,2.9,3.1,4.1,2.6,2.7,2.6,3.9,2.5,2.5,2.8,3.7,2.4,2.4,2.7,3.9,2.2,2.3,2.7,3.7,2.3,2.2,2.4,3.8,2.5,2.4,2.5,4.1,2.5,2.7,3,4.2,2.7,2.5,2.7,3.9,2.5,2.6,2.8,4.2,2.8,2.7
 Citizen Unemployment Rate * ,4.7,6.1,4.2,3.1,3.2,4.4,2.8,3,2.7,4,2.6,2.7,3,3.9,2.6,2.6,2.8,4,2.4,2.5,2.8,3.9,2.4,2.3,2.5,4,2.7,2.5,2.5,4.2,2.7,2.9,3.2,4.4,2.8,2.6,2.7,4.1,2.6,2.7,2.9,4.4,2.9,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total population comprises residents and non residents.  Residents refer to Singapore citizens and permanent residents.  Data for June 1995, 2000 and 2005 were obtained from the General Household Survey (June 1995 and 2005) and Population Census (June 2000) conducted by the Singapore Department of Statistics, Ministry of Trade and Industry.  The Labour Force Survey was not conducted in these periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL UNEMPLOYMENT RATE - DATA IS NON-SEASONALLY ADJUSTED.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESIDENT UNEMPLOYMENT RATE - DATA IS NON-SEASONALLY ADJUSTED.  RESIDENTS REFER TO SINGAPORE CITIZENS AND SINGAPORE PERMANENT RESIDENTS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITIZEN UNEMPLOYMENT RATE - DATA IS NON-SEASONALLY ADJUSTED.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 31/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
