year,age,sex,enrolment_secondary
1984,13 YRS,MF,32924
1984,13 YRS,F,16779
1984,14 YRS,MF,35244
1984,14 YRS,F,17712
1984,15 YRS,MF,37080
1984,15 YRS,F,18563
1984,16 YRS,MF,20252
1984,16 YRS,F,9634
1984,17 YRS,MF,8488
1984,17 YRS,F,3701
1984,18 YRS,MF,124
1984,18 YRS,F,52
1984,19 YRS,MF,39
1984,19 YRS,F,14
1984,20 YRS & OVER,MF,3
1984,20 YRS & OVER,F,0
1984,UNDER 13 YRS,MF,30220
1984,UNDER 13 YRS,F,15469
1985,13 YRS,MF,34392
1985,13 YRS,F,17481
1985,14 YRS,MF,36665
1985,14 YRS,F,18399
1985,15 YRS,MF,35395
1985,15 YRS,F,17764
1985,16 YRS,MF,17265
1985,16 YRS,F,8041
1985,17 YRS,MF,6793
1985,17 YRS,F,3026
1985,18 YRS,MF,478
1985,18 YRS,F,187
1985,19 YRS,MF,32
1985,19 YRS,F,14
1985,20 YRS & OVER,MF,8
1985,20 YRS & OVER,F,1
1985,UNDER 13 YRS,MF,32562
1985,UNDER 13 YRS,F,16624
1986,13 YRS,MF,36407
1986,13 YRS,F,18365
1986,14 YRS,MF,38045
1986,14 YRS,F,18941
1986,15 YRS,MF,36412
1986,15 YRS,F,18291
1986,16 YRS,MF,18051
1986,16 YRS,F,8639
1986,17 YRS,MF,9405
1986,17 YRS,F,4222
1986,18 YRS,MF,2315
1986,18 YRS,F,1012
1986,19 YRS,MF,25
1986,19 YRS,F,10
1986,20 YRS & OVER,MF,16
1986,20 YRS & OVER,F,3
1986,UNDER 13 YRS,MF,32862
1986,UNDER 13 YRS,F,16453
1987,13 YRS,MF,36633
1987,13 YRS,F,18251
1987,14 YRS,MF,39924
1987,14 YRS,F,19788
1987,15 YRS,MF,37622
1987,15 YRS,F,18772
1987,16 YRS,MF,17044
1987,16 YRS,F,8132
1987,17 YRS,MF,7806
1987,17 YRS,F,3392
1987,18 YRS,MF,1936
1987,18 YRS,F,732
1987,19 YRS,MF,32
1987,19 YRS,F,12
1987,20 YRS & OVER,MF,9
1987,20 YRS & OVER,F,2
1987,UNDER 13 YRS,MF,30611
1987,UNDER 13 YRS,F,15299
1988,13 YRS,MF,34262
1988,13 YRS,F,17012
1988,14 YRS,MF,39508
1988,14 YRS,F,19480
1988,15 YRS,MF,39214
1988,15 YRS,F,19569
1988,16 YRS,MF,16409
1988,16 YRS,F,7733
1988,17 YRS,MF,7285
1988,17 YRS,F,3231
1988,18 YRS,MF,1880
1988,18 YRS,F,751
1988,19 YRS,MF,270
1988,19 YRS,F,71
1988,20 YRS & OVER,MF,8
1988,20 YRS & OVER,F,2
1988,UNDER 13 YRS,MF,29267
1988,UNDER 13 YRS,F,14586
1989,13 YRS,MF,32369
1989,13 YRS,F,16064
1989,14 YRS,MF,36682
1989,14 YRS,F,18021
1989,15 YRS,MF,38874
1989,15 YRS,F,19287
1989,16 YRS,MF,16824
1989,16 YRS,F,7971
1989,17 YRS,MF,7294
1989,17 YRS,F,3165
1989,18 YRS,MF,1896
1989,18 YRS,F,821
1989,19 YRS,MF,309
1989,19 YRS,F,99
1989,20 YRS & OVER,MF,57
1989,20 YRS & OVER,F,13
1989,UNDER 13 YRS,MF,31524
1989,UNDER 13 YRS,F,15592
1990,13 YRS,MF,35731
1990,13 YRS,F,17625
1990,14 YRS,MF,34730
1990,14 YRS,F,17141
1990,15 YRS,MF,36248
1990,15 YRS,F,17886
1990,16 YRS,MF,16419
1990,16 YRS,F,7712
1990,17 YRS,MF,7200
1990,17 YRS,F,3166
1990,18 YRS,MF,1718
1990,18 YRS,F,756
1990,19 YRS,MF,163
1990,19 YRS,F,57
1990,20 YRS & OVER,MF,23
1990,20 YRS & OVER,F,6
1990,UNDER 13 YRS,MF,28310
1990,UNDER 13 YRS,F,14082
1991,13 YRS,MF,31542
1991,13 YRS,F,15638
1991,14 YRS,MF,38337
1991,14 YRS,F,18745
1991,15 YRS,MF,34324
1991,15 YRS,F,17042
1991,16 YRS,MF,15087
1991,16 YRS,F,7002
1991,17 YRS,MF,6950
1991,17 YRS,F,3067
1991,18 YRS,MF,1783
1991,18 YRS,F,811
1991,19 YRS,MF,112
1991,19 YRS,F,37
1991,20 YRS & OVER,MF,25
1991,20 YRS & OVER,F,7
1991,UNDER 13 YRS,MF,28586
1991,UNDER 13 YRS,F,14236
1992,13 YRS,MF,32255
1992,13 YRS,F,16018
1992,14 YRS,MF,34192
1992,14 YRS,F,16769
1992,15 YRS,MF,38021
1992,15 YRS,F,18656
1992,16 YRS,MF,14158
1992,16 YRS,F,6573
1992,17 YRS,MF,6068
1992,17 YRS,F,2581
1992,18 YRS,MF,1507
1992,18 YRS,F,685
1992,19 YRS,MF,99
1992,19 YRS,F,36
1992,20 YRS & OVER,MF,16
1992,20 YRS & OVER,F,5
1992,UNDER 13 YRS,MF,29516
1992,UNDER 13 YRS,F,14478
1993,13 YRS,MF,32969
1993,13 YRS,F,16218
1993,14 YRS,MF,35308
1993,14 YRS,F,17428
1993,15 YRS,MF,33890
1993,15 YRS,F,16691
1993,16 YRS,MF,16090
1993,16 YRS,F,7385
1993,17 YRS,MF,5944
1993,17 YRS,F,2596
1993,18 YRS,MF,1420
1993,18 YRS,F,617
1993,19 YRS,MF,97
1993,19 YRS,F,33
1993,20 YRS & OVER,MF,21
1993,20 YRS & OVER,F,6
1993,UNDER 13 YRS,MF,29557
1993,UNDER 13 YRS,F,14803
1994,13 YRS,MF,38992
1994,13 YRS,F,18881
1994,14 YRS,MF,39225
1994,14 YRS,F,18854
1994,15 YRS,MF,35283
1994,15 YRS,F,17455
1994,16 YRS,MF,14102
1994,16 YRS,F,6400
1994,17 YRS,MF,6552
1994,17 YRS,F,2865
1994,18 YRS,MF,1432
1994,18 YRS,F,661
1994,19 YRS,MF,74
1994,19 YRS,F,24
1994,20 YRS & OVER,MF,13
1994,20 YRS & OVER,F,6
1994,UNDER 13 YRS,MF,38261
1994,UNDER 13 YRS,F,18632
1995,13 YRS,MF,40451
1995,13 YRS,F,19525
1995,14 YRS,MF,39931
1995,14 YRS,F,19219
1995,15 YRS,MF,38866
1995,15 YRS,F,18736
1995,16 YRS,MF,14944
1995,16 YRS,F,6914
1995,17 YRS,MF,5992
1995,17 YRS,F,2478
1995,18 YRS,MF,1406
1995,18 YRS,F,608
1995,19 YRS,MF,74
1995,19 YRS,F,34
1995,20 YRS & OVER,MF,7
1995,20 YRS & OVER,F,4
1995,UNDER 13 YRS,MF,39311
1995,UNDER 13 YRS,F,18934
1996,13 YRS,MF,40894
1996,13 YRS,F,19656
1996,14 YRS,MF,40783
