year,type_of_educational_institution,expenditure_per_student
1986,Primary Schools,1404
1986,Secondary Schools,1931
1986,Junior Colleges/Centralised Institutes,2606
1986,Polytechnics,4143
1986,Institute of Technical Education,3924
1986,Universities,11874
1987,Primary Schools,1474
1987,Secondary Schools,2042
1987,Junior Colleges/Centralised Institutes,2643
1987,Polytechnics,4219
1987,Institute of Technical Education,3631
1987,Universities,11993
1988,Primary Schools,1692
1988,Secondary Schools,2364
1988,Junior Colleges/Centralised Institutes,2858
1988,Polytechnics,4803
1988,Institute of Technical Education,3802
1988,Universities,14248
1989,Primary Schools,1892
1989,Secondary Schools,2574
1989,Junior Colleges/Centralised Institutes,3332
1989,Polytechnics,5755
1989,Institute of Technical Education,4262
1989,Universities,13965
1990,Primary Schools,2013
1990,Secondary Schools,2843
1990,Junior Colleges/Centralised Institutes,3956
1990,Polytechnics,5916
1990,Institute of Technical Education,4883
1990,Universities,13615
1991,Primary Schools,2062
1991,Secondary Schools,3004
1991,Junior Colleges/Centralised Institutes,4574
1991,Polytechnics,6051
1991,Institute of Technical Education,5180
1991,Universities,14868
1992,Primary Schools,2061
1992,Secondary Schools,3129
1992,Junior Colleges/Centralised Institutes,4780
1992,Polytechnics,6142
1992,Institute of Technical Education,6201
1992,Universities,15422
1993,Primary Schools,2254
1993,Secondary Schools,3412
1993,Junior Colleges/Centralised Institutes,5178
1993,Polytechnics,6990
1993,Institute of Technical Education,5212
1993,Universities,15450
1994,Primary Schools,2523
1994,Secondary Schools,3488
1994,Junior Colleges/Centralised Institutes,5832
1994,Polytechnics,7584
1994,Institute of Technical Education,7511
1994,Universities,16355
1995,Primary Schools,2653
1995,Secondary Schools,3680
1995,Junior Colleges/Centralised Institutes,6363
1995,Polytechnics,7776
1995,Institute of Technical Education,9547
1995,Universities,17241
1996,Primary Schools,2837
1996,Secondary Schools,4152
1996,Junior Colleges/Centralised Institutes,6726
1996,Polytechnics,8406
1996,Institute of Technical Education,11646
1996,Universities,15037
1997,Primary Schools,2960
1997,Secondary Schools,4469
1997,Junior Colleges/Centralised Institutes,7052
1997,Polytechnics,9018
1997,Institute of Technical Education,10586
1997,Universities,15125
1998,Primary Schools,2808
1998,Secondary Schools,4472
1998,Junior Colleges/Centralised Institutes,6346
1998,Polytechnics,8144
1998,Institute of Technical Education,7020
1998,Universities,12580
1999,Primary Schools,2612
