year,sex,school_type,student_sec,teacher_sec
1981,MF,Govt,117223,5480
1981,F,Govt,58475,2841
1981,MF,Aided,40084,2148
1981,F,Aided,20623,1392
1981,MF,Auto,0,0
1981,F,Auto,0,0
1981,MF,Independent,0,0
1981,F,Independent,0,0
1981,MF,Specialised Independant,0,0
1981,F,Specialised Independant,0,0
1981,MF,Specialised,0,0
1981,F,Specialised,0,0
1982,MF,Govt,117063,5412
1982,F,Govt,58495,2824
1982,MF,Aided,39350,2185
1982,F,Aided,20105,1441
1982,MF,Auto,0,0
1982,F,Auto,0,0
1982,MF,Independent,0,0
1982,F,Independent,0,0
1982,MF,Specialised Independant,0,0
1982,F,Specialised Independant,0,0
1982,MF,Specialised,0,0
1982,F,Specialised,0,0
1983,MF,Govt,121749,5615
1983,F,Govt,60311,3004
1983,MF,Aided,39514,2192
1983,F,Aided,20147,1455
1983,MF,Auto,0,0
1983,F,Auto,0,0
1983,MF,Independent,0,0
1983,F,Independent,0,0
1983,MF,Specialised Independant,0,0
1983,F,Specialised Independant,0,0
1983,MF,Specialised,0,0
1983,F,Specialised,0,0
1984,MF,Govt,123443,5565
1984,F,Govt,61207,3043
1984,MF,Aided,40931,1714
1984,F,Aided,20717,1100
1984,MF,Auto,0,0
1984,F,Auto,0,0
1984,MF,Independent,0,0
1984,F,Independent,0,0
1984,MF,Specialised Independant,0,0
1984,F,Specialised Independant,0,0
1984,MF,Specialised,0,0
1984,F,Specialised,0,0
1985,MF,Govt,120978,5713
1985,F,Govt,59732,3159
1985,MF,Aided,42612,1781
1985,F,Aided,21805,1155
1985,MF,Auto,0,0
1985,F,Auto,0,0
1985,MF,Independent,0,0
1985,F,Independent,0,0
1985,MF,Specialised Independant,0,0
1985,F,Specialised Independant,0,0
1985,MF,Specialised,0,0
1985,F,Specialised,0,0
1986,MF,Govt,130444,5820
1986,F,Govt,63777,3266
1986,MF,Aided,43094,1701
1986,F,Aided,22159,1122
1986,MF,Auto,0,0
1986,F,Auto,0,0
1986,MF,Independent,0,0
1986,F,Independent,0,0
1986,MF,Specialised Independant,0,0
1986,F,Specialised Independant,0,0
1986,MF,Specialised,0,0
1986,F,Specialised,0,0
1987,MF,Govt,127455,6098
1987,F,Govt,61573,3582
1987,MF,Aided,44162,1835
1987,F,Aided,22807,1255
1987,MF,Auto,0,0
1987,F,Auto,0,0
1987,MF,Independent,0,0
1987,F,Independent,0,0
1987,MF,Specialised Independant,0,0
1987,F,Specialised Independant,0,0
1987,MF,Specialised,0,0
1987,F,Specialised,0,0
1988,MF,Govt,124702,5917
1988,F,Govt,60031,3485
1988,MF,Aided,37919,1577
1988,F,Aided,22404,1099
1988,MF,Auto,0,0
1988,F,Auto,0,0
1988,MF,Independent,5482,101
1988,F,Independent,0,57
1988,MF,Specialised Independant,0,0
1988,F,Specialised Independant,0,0
1988,MF,Specialised,0,0
1988,F,Specialised,0,0
1989,MF,Govt,122861,5843
1989,F,Govt,58876,3507
1989,MF,Aided,36089,1533
1989,F,Aided,20481,1057
1989,MF,Auto,0,0
1989,F,Auto,0,0
1989,MF,Independent,6879,289
1989,F,Independent,1676,200
1989,MF,Specialised Independant,0,0
1989,F,Specialised Independant,0,0
1989,MF,Specialised,0,0
1989,F,Specialised,0,0
1990,MF,Govt,116693,5660
1990,F,Govt,56741,3395
1990,MF,Aided,35589,1533
1990,F,Aided,20036,1047
1990,MF,Auto,0,0
1990,F,Auto,0,0
1990,MF,Independent,8260,393
1990,F,Independent,1654,269
1990,MF,Specialised Independant,0,0
1990,F,Specialised Independant,0,0
1990,MF,Specialised,0,0
1990,F,Specialised,0,0
1991,MF,Govt,113450,5593
1991,F,Govt,55223,3353
1991,MF,Aided,35315,1581
1991,F,Aided,19719,1078
1991,MF,Auto,0,0
1991,F,Auto,0,0
1991,MF,Independent,7981,358
1991,F,Independent,1643,253
1991,MF,Specialised Independant,0,0
1991,F,Specialised Independant,0,0
1991,MF,Specialised,0,0
1991,F,Specialised,0,0
1992,MF,Govt,111920,5615
1992,F,Govt,54354,3393
1992,MF,Aided,36024,1651
1992,F,Aided,19763,1131
1992,MF,Auto,0,0
1992,F,Auto,0,0
1992,MF,Independent,7888,322
1992,F,Independent,1684,240
1992,MF,Specialised Independant,0,0
1992,F,Specialised Independant,0,0
1992,MF,Specialised,0,0
1992,F,Specialised,0,0
1993,MF,Govt,109168,5435
1993,F,Govt,52638,3254
1993,MF,Aided,35569,1617
1993,F,Aided,18720,1082
1993,MF,Auto,0,0
1993,F,Auto,0,0
1993,MF,Independent,10559,443
1993,F,Independent,4419,328
1993,MF,Specialised Independant,0,0
1993,F,Specialised Independant,0,0
1993,MF,Specialised,0,0
1993,F,Specialised,0,0
1994,MF,Govt,117479,5477
1994,F,Govt,56496,3331
1994,MF,Aided,36917,1663
1994,F,Aided,18252,1116
1994,MF,Auto,8833,403
1994,F,Auto,4537,258
1994,MF,Independent,10705,447
1994,F,Independent,4493,330
1994,MF,Specialised Independant,0,0
1994,F,Specialised Independant,0,0
1994,MF,Specialised,0,0
1994,F,Specialised,0,0
1995,MF,Govt,119554,5424
1995,F,Govt,56228,3257
1995,MF,Aided,33376,1336
1995,F,Aided,16229,869
1995,MF,Auto,16990,781
1995,F,Auto,9287,551
1995,MF,Independent,11062,429
1995,F,Independent,4708,320
1995,MF,Specialised Independant,0,0
