year,sex,school_type,students_preu,teachers_preu
1981,MF,Aided,7249,405
1981,F,Aided,4084,243
1981,MF,Auto,_,_
1981,F,Auto,_,_
1981,MF,Govt,10904,175
1981,F,Govt,6504,91
1981,MF,Indep,_,_
1981,F,Indep,_,_
1981,MF,Specialised Indep,_,_
1981,F,Specialised Indep,_,_
1982,MF,Aided,6916,399
1982,F,Aided,3592,231
1982,MF,Auto,_,_
1982,F,Auto,_,_
1982,MF,Govt,11723,282
1982,F,Govt,6763,155
1982,MF,Indep,_,_
1982,F,Indep,_,_
1982,MF,Specialised Indep,_,_
1982,F,Specialised Indep,_,_
1983,MF,Aided,7115,433
1983,F,Aided,3656,254
1983,MF,Auto,_,_
1983,F,Auto,_,_
1983,MF,Govt,12090,331
1983,F,Govt,7015,196
1983,MF,Indep,_,_
1983,F,Indep,_,_
1983,MF,Specialised Indep,_,_
1983,F,Specialised Indep,_,_
1984,MF,Aided,7514,436
1984,F,Aided,3875,264
1984,MF,Auto,_,_
1984,F,Auto,_,_
1984,MF,Govt,13957,441
1984,F,Govt,7977,281
1984,MF,Indep,_,_
1984,F,Indep,_,_
1984,MF,Specialised Indep,_,_
1984,F,Specialised Indep,_,_
1985,MF,Aided,8151,446
1985,F,Aided,4225,279
1985,MF,Auto,_,_
1985,F,Auto,_,_
1985,MF,Govt,16548,548
1985,F,Govt,9505,350
1985,MF,Indep,_,_
1985,F,Indep,_,_
1985,MF,Specialised Indep,_,_
1985,F,Specialised Indep,_,_
1986,MF,Aided,8746,458
1986,F,Aided,4496,283
1986,MF,Auto,_,_
1986,F,Auto,_,_
1986,MF,Govt,18852,641
1986,F,Govt,10672,407
1986,MF,Indep,_,_
1986,F,Indep,_,_
1986,MF,Specialised Indep,_,_
1986,F,Specialised Indep,_,_
1987,MF,Aided,8723,506
1987,F,Aided,4448,318
1987,MF,Auto,_,_
1987,F,Auto,_,_
1987,MF,Govt,20785,862
1987,F,Govt,11755,549
1987,MF,Indep,_,_
1987,F,Indep,_,_
1987,MF,Specialised Indep,_,_
1987,F,Specialised Indep,_,_
1988,MF,Aided,9188,483
1988,F,Aided,4796,309
1988,MF,Auto,_,_
1988,F,Auto,_,_
1988,MF,Govt,22894,889
1988,F,Govt,12959,570
1988,MF,Indep,_,_
