Clinic Name,Address,Telephone,Type
1 MEDICAL TECK GHEE,"410 ANG MO KIO AVENUE 10, #01 - 837, TECK GHEE SQUARE,
Singapore - 560410",Tel: 62517030,Type: Medical
18 Clinic,"101 Towner Road, #01 - 228,
Singapore - 322101",Tel: 62999750,Type: Medical
"1Aesthetics , Medical & Surgery","08 Eu Tong Sen Street, #14 - 90, The Central,
Singapore - 59818",Tel: 66125173,Type: Medical
338 Family Clinic,"338 Ang Mo Kio Avenue 1, #01 - 1615,
Singapore - 560338",Tel: 64549408,Type: Medical
81 Family Clinic,"86 Marine Parade Central, #01 - 670,
Singapore - 440086",Tel: 63466768,Type: Medical
888 Plaza Family Clinic,"888 Woodlands Drive 50, #01 - 739, 888 Plaza,
Singapore - 730888",Tel: 63688762,Type: Medical
A & A Clinic,"570B Woodlands Avenue 1, #01 - 07,
Singapore - 732570",Tel: 6339 0883,Type: Medical
A Dental Clinic @ Clementi Central Pte Ltd,"450 Clementi Avenue 3, #01 - 285,
Singapore - 120450",Tel: 67744168,Type: Dental
A Dental Clinic @ Jurong East Central,"135 Jurong Gateway Road, #01 - 333,
Singapore - 600135",Tel: 65690280,Type: Dental
A Life Clinic Pte Ltd,"10 Sinaran Drive, #09 - 21, Novena Medical Center,
Singapore - 307506",Tel: 67372283,Type: Medical
A Line Dental Braces Clinic Pte Ltd,"1 Coleman Street, #03 - 01, The Adelphi,
Singapore - 179803",Tel: 68372722,Type: Dental
A MEDICAL CLINIC,"01 EVERTON PARK, #01 - 27, EVERTON PARK,
Singapore - 081001",Tel: 62262066,Type: Medical
A St*R Dental Surgery,"330 Ang Mo Kio Avenue 1, #01 - 1805,
Singapore - 560330",Tel: 64589595,Type: Dental
A St*r Dental Surgery,"25 Ghim Moh Link, #01 - 09,
Singapore - 270025",Tel: 62629595,Type: Dental
A+FFORDABLE CLINIC (AMK AVE 10),"449 ANG MO KIO AVENUE 10, #01 - 1715,
Singapore - 560449",Tel: 63437731,Type: Medical
A1 Medical Clinic,"418 Bedok North Avenue 2, #01 - 63, Linear Green @ Bedok,
Singapore - 460418",Tel: 64930198,Type:
Aaron Dentalcare,"110 Robinson Road, #01 - 00,
Singapore - 068901",Tel: 63232353,Type: Dental
Aaron Dentalcare@Holland V.,"8A Lorong Mambong,
Singapore - 277674",Tel: 64667313,Type: Dental
Aaron Seow Dental Surgery,"43 Holland Drive, #01 - 49,
Singapore - 270043",Tel: 67774333,Type: Dental
ABLE MEDICAL,"201D TAMPINES STREET 21, #01 - 1129,
Singapore - 524201",Tel: 69093955,Type: Medical
Absolute Smile Dental,"02 Tai Thong Crescent, #01 - 04, The Venue Shoppes,
Singapore - 347836",Tel: 69045680,Type:
Acacia Medical Clinic,"180 DEPOT ROAD, #01 - 07, INTERLACE, THE,
Singapore - 109684",Tel: 66840274,Type: Medical
Accord Dental Clinic,"442 Pasir Ris Drive 6, #01 - 26,
Singapore - 510442",Tel: 65821368,Type: Dental
