Country,Date,Total Cases,New Cases,Total Death,New Death
Singapore,31/12/2019,0,0,0,0
Singapore,1/1/2020,0,0,0,0
Singapore,2/1/2020,0,0,0,0
Singapore,3/1/2020,0,0,0,0
Singapore,4/1/2020,0,0,0,0
Singapore,5/1/2020,0,0,0,0
Singapore,6/1/2020,0,0,0,0
Singapore,7/1/2020,0,0,0,0
Singapore,8/1/2020,0,0,0,0
Singapore,9/1/2020,0,0,0,0
Singapore,10/1/2020,0,0,0,0
Singapore,11/1/2020,0,0,0,0
Singapore,12/1/2020,0,0,0,0
Singapore,13/1/2020,0,0,0,0
Singapore,14/1/2020,0,0,0,0
Singapore,15/1/2020,0,0,0,0
Singapore,16/1/2020,0,0,0,0
Singapore,17/1/2020,0,0,0,0
Singapore,18/1/2020,0,0,0,0
Singapore,19/1/2020,0,0,0,0
Singapore,20/1/2020,0,0,0,0
Singapore,21/1/2020,0,0,0,0
Singapore,22/1/2020,0,0,0,0
Singapore,23/1/2020,0,0,0,0
Singapore,24/1/2020,3,3,0,0
Singapore,25/1/2020,3,0,0,0
Singapore,26/1/2020,4,1,0,0
Singapore,27/1/2020,4,0,0,0
Singapore,28/1/2020,5,1,0,0
Singapore,29/1/2020,7,2,0,0
Singapore,30/1/2020,10,3,0,0
Singapore,31/1/2020,13,3,0,0
Singapore,1/2/2020,16,3,0,0
Singapore,2/2/2020,18,2,0,0
Singapore,3/2/2020,18,0,0,0
Singapore,4/2/2020,18,0,0,0
Singapore,5/2/2020,24,6,0,0
Singapore,6/2/2020,28,4,0,0
Singapore,7/2/2020,30,2,0,0
Singapore,8/2/2020,33,3,0,0
Singapore,9/2/2020,40,7,0,0
Singapore,10/2/2020,43,3,0,0
Singapore,11/2/2020,45,2,0,0
Singapore,12/2/2020,47,2,0,0
Singapore,13/2/2020,50,3,0,0
Singapore,14/2/2020,58,8,0,0
Singapore,15/2/2020,67,9,0,0
Singapore,16/2/2020,72,5,0,0
Singapore,17/2/2020,75,3,0,0
Singapore,18/2/2020,77,2,0,0
Singapore,19/2/2020,81,4,0,0
Singapore,20/2/2020,84,3,0,0
Singapore,21/2/2020,85,1,0,0
Singapore,22/2/2020,86,1,0,0
Singapore,23/2/2020,89,3,0,0
Singapore,24/2/2020,89,0,0,0
Singapore,25/2/2020,90,1,0,0
Singapore,26/2/2020,91,1,0,0
Singapore,27/2/2020,93,2,0,0
Singapore,28/2/2020,96,3,0,0
Singapore,29/2/2020,98,2,0,0
Singapore,1/3/2020,102,4,0,0
Singapore,2/3/2020,106,4,0,0
Singapore,3/3/2020,108,2,0,0
Singapore,4/3/2020,110,2,0,0
Singapore,5/3/2020,112,2,0,0
Singapore,6/3/2020,117,5,0,0
Singapore,7/3/2020,130,13,0,0
Singapore,8/3/2020,138,8,0,0
Singapore,9/3/2020,150,12,0,0
Singapore,10/3/2020,160,10,0,0
Singapore,11/3/2020,166,6,0,0
Singapore,12/3/2020,178,12,0,0
Singapore,13/3/2020,187,9,0,0
Singapore,14/3/2020,200,13,0,0
Singapore,15/3/2020,214,14,0,0
Singapore,16/3/2020,226,12,0,0
Singapore,17/3/2020,243,17,0,0
Singapore,18/3/2020,266,23,0,0
Singapore,19/3/2020,313,47,0,0
Singapore,20/3/2020,345,32,0,0
Singapore,21/3/2020,385,40,0,0
Singapore,22/3/2020,432,47,2,2
Singapore,23/3/2020,455,23,2,0
Singapore,24/3/2020,509,54,2,0
Singapore,25/3/2020,558,49,2,0
Singapore,26/3/2020,568,10,2,0
Singapore,27/3/2020,594,26,2,0
Singapore,28/3/2020,732,138,2,0
Singapore,29/3/2020,803,71,3,1
Singapore,30/3/2020,844,41,3,0
Singapore,31/3/2020,844,0,3,0
Singapore,1/4/2020,879,35,3,0
Singapore,2/4/2020,1000,121,4,1
Singapore,3/4/2020,1049,49,5,1
Singapore,4/4/2020,1114,65,5,0
Singapore,5/4/2020,1189,75,6,1
Singapore,6/4/2020,1309,120,6,0
Singapore,7/4/2020,1375,66,6,0
Singapore,8/4/2020,1481,106,6,0
Singapore,9/4/2020,1623,142,6,0
Singapore,10/4/2020,1909,286,6,0
Singapore,11/4/2020,1909,0,6,0
Singapore,12/4/2020,2299,390,8,2
Singapore,13/4/2020,2532,233,8,0
Singapore,14/4/2020,2918,386,9,1
Singapore,15/4/2020,3252,334,10,1
Singapore,16/4/2020,3699,447,10,0
Singapore,17/4/2020,4427,728,10,0
Singapore,18/4/2020,5050,623,11,1
Singapore,19/4/2020,5992,942,11,0
Singapore,20/4/2020,6588,596,11,0
Singapore,21/4/2020,8014,1426,11,0
Singapore,22/4/2020,9125,1111,11,0
Singapore,23/4/2020,10141,1016,12,1
Singapore,24/4/2020,11178,1037,12,0
Singapore,25/4/2020,12075,897,12,0
Singapore,26/4/2020,12693,618,12,0
Singapore,27/4/2020,13624,931,12,0
Singapore,28/4/2020,14423,799,14,2
Singapore,29/4/2020,14951,528,14,0
Singapore,30/4/2020,15641,690,14,0
Singapore,1/5/2020,16169,528,15,1
Singapore,2/5/2020,17101,932,16,1
Singapore,3/5/2020,17548,447,17,1
Singapore,4/5/2020,18205,657,18,1
Singapore,5/5/2020,18778,573,18,0
Singapore,6/5/2020,19410,632,18,0
Singapore,7/5/2020,20198,788,20,2
Singapore,8/5/2020,20939,741,20,0
Singapore,9/5/2020,21707,768,20,0
Singapore,10/5/2020,22460,753,20,0
Singapore,11/5/2020,23336,876,20,0
Singapore,12/5/2020,23787,451,21,1
Singapore,13/5/2020,24671,884,21,0
Singapore,14/5/2020,25346,675,21,0
Singapore,15/5/2020,26098,752,21,0
Singapore,16/5/2020,26891,793,21,0
Singapore,17/5/2020,27356,465,22,1
Singapore,18/5/2020,28038,682,22,0
Singapore,19/5/2020,28343,305,22,0
Singapore,20/5/2020,28794,451,22,0
Singapore,21/5/2020,29364,570,22,0
Singapore,22/5/2020,29812,448,23,1
Singapore,23/5/2020,30426,614,23,0
Singapore,24/5/2020,31068,642,23,0
Singapore,25/5/2020,31616,548,23,0
Singapore,26/5/2020,31960,344,23,0
Singapore,27/5/2020,32343,383,23,0
