year,level_1,value
2005,"Overall Crime Rate Per 100,000 Population",870
2006,"Overall Crime Rate Per 100,000 Population",756
2007,"Overall Crime Rate Per 100,000 Population",715
2008,"Overall Crime Rate Per 100,000 Population",684
2009,"Overall Crime Rate Per 100,000 Population",665
2010,"Overall Crime Rate Per 100,000 Population",653
2011,"Overall Crime Rate Per 100,000 Population",608
2012,"Overall Crime Rate Per 100,000 Population",584
2013,"Overall Crime Rate Per 100,000 Population",555
2014,"Overall Crime Rate Per 100,000 Population",591
2015,"Overall Crime Rate Per 100,000 Population",611
2016,"Overall Crime Rate Per 100,000 Population",590
2017,"Overall Crime Rate Per 100,000 Population",582
2018,"Overall Crime Rate Per 100,000 Population",587
2019,"Overall Crime Rate Per 100,000 Population",617
