year,level_1,level_2,level_3,level_4,value
2015,Chinese,English,"Total","5 - 9",92.5
2015,Chinese,English,"Total","10 - 14",88.7
2015,Chinese,English,"Total","15 - 19",96.2
2015,Chinese,English,"Total","20 - 24",87.8
2015,Chinese,English,"Total","25 - 29",69.1
2015,Chinese,English,"Total","30 - 34",68.3
2015,Chinese,English,"Total","35 - 39",80
2015,Chinese,English,"Total","40 - 44",82.2
2015,Chinese,English,"Total","45 - 49",73.4
2015,Chinese,English,"Total","50 - 54",75.3
2015,Chinese,English,"Total","55 - 59",70.9
2015,Chinese,English,"Total","60 - 64",49.8
2015,Chinese,English,"Total","65 - 69",34.6
2015,Chinese,English,"Total","70 - 74",12.5
2015,Chinese,English,"Total","75 & Over",14.2
2015,Chinese,Mandarin,"Total","5 - 9",51.5
2015,Chinese,Mandarin,"Total","10 - 14",59
2015,Chinese,Mandarin,"Total","15 - 19",80.9
2015,Chinese,Mandarin,"Total","20 - 24",93.4
2015,Chinese,Mandarin,"Total","25 - 29",97.5
2015,Chinese,Mandarin,"Total","30 - 34",108.5
2015,Chinese,Mandarin,"Total","35 - 39",110.7
2015,Chinese,Mandarin,"Total","40 - 44",110.3
2015,Chinese,Mandarin,"Total","45 - 49",105.1
2015,Chinese,Mandarin,"Total","50 - 54",119
2015,Chinese,Mandarin,"Total","55 - 59",101.8
2015,Chinese,Mandarin,"Total","60 - 64",85.3
2015,Chinese,Mandarin,"Total","65 - 69",52.2
2015,Chinese,Mandarin,"Total","70 - 74",25.9
2015,Chinese,Mandarin,"Total","75 & Over",25.9
2015,Chinese,Chinese Dialects,"Total","5 - 9",1.2
2015,Chinese,Chinese Dialects,"Total","10 - 14",1.5
2015,Chinese,Chinese Dialects,"Total","15 - 19",2.7
2015,Chinese,Chinese Dialects,"Total","20 - 24",4
2015,Chinese,Chinese Dialects,"Total","25 - 29",7.9
2015,Chinese,Chinese Dialects,"Total","30 - 34",12.9
2015,Chinese,Chinese Dialects,"Total","35 - 39",21.4
2015,Chinese,Chinese Dialects,"Total","40 - 44",30
2015,Chinese,Chinese Dialects,"Total","45 - 49",31.5
2015,Chinese,Chinese Dialects,"Total","50 - 54",34.4
2015,Chinese,Chinese Dialects,"Total","55 - 59",45.9
