year,level_1,level_2,level_3,level_4,value
2015,Total,Total,"Total","15 - 19",254.6
2015,Total,Total,"Total","20 - 24",256.8
2015,Total,Total,"Total","25 - 29",244.3
2015,Total,Total,"Total","30 - 34",271.2
2015,Total,Total,"Total","35 - 39",300.5
2015,Total,Total,"Total","40 - 44",315.6
2015,Total,Total,"Total","45 - 49",301.6
2015,Total,Total,"Total","50 - 54",319.4
2015,Total,Total,"Total","55 - 59",296.7
2015,Total,Total,"Total","60 - 64",248.2
2015,Total,Total,"Total","65 - 69",185.7
2015,Total,Total,"Total","70 - 74",107.2
2015,Total,Total,"Total","75 & Over",174.1
2015,Total,Males,"Total","15 - 19",131.9
2015,Total,Males,"Total","20 - 24",132.4
2015,Total,Males,"Total","25 - 29",119.6
2015,Total,Males,"Total","30 - 34",127.3
2015,Total,Males,"Total","35 - 39",140.5
2015,Total,Males,"Total","40 - 44",151.5
2015,Total,Males,"Total","45 - 49",146.5
2015,Total,Males,"Total","50 - 54",159.3
2015,Total,Males,"Total","55 - 59",148.8
2015,Total,Males,"Total","60 - 64",123.4
2015,Total,Males,"Total","65 - 69",88.2
2015,Total,Males,"Total","70 - 74",49.9
2015,Total,Males,"Total","75 & Over",70.3
2015,Total,Females,"Total","15 - 19",122.7
2015,Total,Females,"Total","20 - 24",124.4
2015,Total,Females,"Total","25 - 29",124.7
2015,Total,Females,"Total","30 - 34",143.9
2015,Total,Females,"Total","35 - 39",160
2015,Total,Females,"Total","40 - 44",164.1
2015,Total,Females,"Total","45 - 49",155
2015,Total,Females,"Total","50 - 54",160.1
2015,Total,Females,"Total","55 - 59",147.9
2015,Total,Females,"Total","60 - 64",124.8
2015,Total,Females,"Total","65 - 69",97.5
2015,Total,Females,"Total","70 - 74",57.3
2015,Total,Females,"Total","75 & Over",103.8
2015,No Religion,Total,"Total","15 - 19",56.6
2015,No Religion,Total,"Total","20 - 24",61
2015,No Religion,Total,"Total","25 - 29",58.7
2015,No Religion,Total,"Total","30 - 34",56.6
2015,No Religion,Total,"Total","35 - 39",60.8
2015,No Religion,Total,"Total","40 - 44",58.8
2015,No Religion,Total,"Total","45 - 49",53.5
2015,No Religion,Total,"Total","50 - 54",50.9
2015,No Religion,Total,"Total","55 - 59",43.7
2015,No Religion,Total,"Total","60 - 64",37.3
2015,No Religion,Total,"Total","65 - 69",30
2015,No Religion,Total,"Total","70 - 74",15.9
2015,No Religion,Total,"Total","75 & Over",20.8
2015,No Religion,Males,"Total","15 - 19",30.1
2015,No Religion,Males,"Total","20 - 24",31.7
2015,No Religion,Males,"Total","25 - 29",31.8
2015,No Religion,Males,"Total","30 - 34",27.4
2015,No Religion,Males,"Total","35 - 39",29.4
2015,No Religion,Males,"Total","40 - 44",29
2015,No Religion,Males,"Total","45 - 49",27.6
2015,No Religion,Males,"Total","50 - 54",27.6
2015,No Religion,Males,"Total","55 - 59",23.6
2015,No Religion,Males,"Total","60 - 64",20.4
2015,No Religion,Males,"Total","65 - 69",16.9
2015,No Religion,Males,"Total","70 - 74",8.8
2015,No Religion,Males,"Total","75 & Over",12.9
2015,No Religion,Females,"Total","15 - 19",26.4
2015,No Religion,Females,"Total","20 - 24",29.4
2015,No Religion,Females,"Total","25 - 29",26.8
2015,No Religion,Females,"Total","30 - 34",29.2
2015,No Religion,Females,"Total","35 - 39",31.4
2015,No Religion,Females,"Total","40 - 44",29.8
2015,No Religion,Females,"Total","45 - 49",25.9
2015,No Religion,Females,"Total","50 - 54",23.3
2015,No Religion,Females,"Total","55 - 59",20
2015,No Religion,Females,"Total","60 - 64",16.9
2015,No Religion,Females,"Total","65 - 69",13.2
2015,No Religion,Females,"Total","70 - 74",7.1
2015,No Religion,Females,"Total","75 & Over",7.9
2015,Buddhism,Total,"Total","15 - 19",70.1
2015,Buddhism,Total,"Total","20 - 24",67.8
2015,Buddhism,Total,"Total","25 - 29",67.8
2015,Buddhism,Total,"Total","30 - 34",83.8
2015,Buddhism,Total,"Total","35 - 39",100
2015,Buddhism,Total,"Total","40 - 44",107.1
2015,Buddhism,Total,"Total","45 - 49",103.9
2015,Buddhism,Total,"Total","50 - 54",115.7
2015,Buddhism,Total,"Total","55 - 59",107.8
