year,level_1,level_2,level_3,level_4,value
2015,Total,Total,Total,0 - 4,6497
2015,Total,Total,Total,5-Sep,9690
2015,Total,Total,Total,Oct-14,9340
2015,Total,Total,Total,15 - 19,7988
2015,Total,Total,Total,20 - 24,5770
2015,Total,Total,Total,25 - 29,5951
2015,Total,Total,Total,30 - 34,10859
2015,Total,Total,Total,35 - 39,15336
2015,Total,Total,Total,40 - 44,16391
2015,Total,Total,Total,45 - 49,13320
2015,Total,Total,Total,50 - 54,9447
2015,Total,Total,Total,55 - 59,6135
2015,Total,Total,Total,60 - 64,3864
2015,Total,Total,Total,65 - 69,2679
2015,Total,Total,Total,70 - 74,1228
2015,Total,Total,Total,75 - 79,1013
2015,Total,Total,Total,80 - 84,691
2015,Total,Total,Total,85 & Over,609
2015,Total,Males,Total,0 - 4,3059
2015,Total,Males,Total,5-Sep,4538
2015,Total,Males,Total,Oct-14,4509
2015,Total,Males,Total,15 - 19,3736
2015,Total,Males,Total,20 - 24,2587
2015,Total,Males,Total,25 - 29,2136
2015,Total,Males,Total,30 - 34,3954
2015,Total,Males,Total,35 - 39,6683
2015,Total,Males,Total,40 - 44,7900
2015,Total,Males,Total,45 - 49,6761
2015,Total,Males,Total,50 - 54,5107
2015,Total,Males,Total,55 - 59,3391
2015,Total,Males,Total,60 - 64,2233
2015,Total,Males,Total,65 - 69,1578
2015,Total,Males,Total,70 - 74,707
2015,Total,Males,Total,75 - 79,501
2015,Total,Males,Total,80 - 84,303
2015,Total,Males,Total,85 & Over,230
2015,Total,Females,Total,0 - 4,3438
2015,Total,Females,Total,5-Sep,5152
2015,Total,Females,Total,Oct-14,4831
2015,Total,Females,Total,15 - 19,4252
2015,Total,Females,Total,20 - 24,3183
2015,Total,Females,Total,25 - 29,3815
2015,Total,Females,Total,30 - 34,6905
2015,Total,Females,Total,35 - 39,8653
2015,Total,Females,Total,40 - 44,8491
2015,Total,Females,Total,45 - 49,6559
2015,Total,Females,Total,50 - 54,4340
2015,Total,Females,Total,55 - 59,2744
2015,Total,Females,Total,60 - 64,1631
2015,Total,Females,Total,65 - 69,1101
2015,Total,Females,Total,70 - 74,521
2015,Total,Females,Total,75 - 79,512
2015,Total,Females,Total,80 - 84,388
2015,Total,Females,Total,85 & Over,379
2015,Filipino,Total,Total,0 - 4,460
2015,Filipino,Total,Total,5-Sep,2696
2015,Filipino,Total,Total,Oct-14,3381
2015,Filipino,Total,Total,15 - 19,2609
2015,Filipino,Total,Total,20 - 24,1231
2015,Filipino,Total,Total,25 - 29,829
2015,Filipino,Total,Total,30 - 34,3006
2015,Filipino,Total,Total,35 - 39,6224
2015,Filipino,Total,Total,40 - 44,5931
2015,Filipino,Total,Total,45 - 49,4087
2015,Filipino,Total,Total,50 - 54,2014
2015,Filipino,Total,Total,55 - 59,971
2015,Filipino,Total,Total,60 - 64,313
2015,Filipino,Total,Total,65 - 69,146
2015,Filipino,Total,Total,70 - 74,54
2015,Filipino,Total,Total,75 - 79,54
2015,Filipino,Total,Total,80 - 84,27
2015,Filipino,Total,Total,85 & Over,25
2015,Filipino,Males,Total,0 - 4,234
2015,Filipino,Males,Total,5-Sep,1353
2015,Filipino,Males,Total,Oct-14,1771
2015,Filipino,Males,Total,15 - 19,1309
2015,Filipino,Males,Total,20 - 24,585
2015,Filipino,Males,Total,25 - 29,266
2015,Filipino,Males,Total,30 - 34,1028
2015,Filipino,Males,Total,35 - 39,2559
2015,Filipino,Males,Total,40 - 44,2629
2015,Filipino,Males,Total,45 - 49,1841
2015,Filipino,Males,Total,50 - 54,896
2015,Filipino,Males,Total,55 - 59,423
2015,Filipino,Males,Total,60 - 64,147
2015,Filipino,Males,Total,65 - 69,65
2015,Filipino,Males,Total,70 - 74,24
2015,Filipino,Males,Total,75 - 79,26
2015,Filipino,Males,Total,80 - 84,11
2015,Filipino,Males,Total,85 & Over,7
2015,Filipino,Females,Total,0 - 4,226
2015,Filipino,Females,Total,5-Sep,1343
2015,Filipino,Females,Total,Oct-14,1610
2015,Filipino,Females,Total,15 - 19,1300
2015,Filipino,Females,Total,20 - 24,646
2015,Filipino,Females,Total,25 - 29,563
2015,Filipino,Females,Total,30 - 34,1978
2015,Filipino,Females,Total,35 - 39,3665
2015,Filipino,Females,Total,40 - 44,3302
2015,Filipino,Females,Total,45 - 49,2246
2015,Filipino,Females,Total,50 - 54,1118
2015,Filipino,Females,Total,55 - 59,548
2015,Filipino,Females,Total,60 - 64,166
2015,Filipino,Females,Total,65 - 69,81
2015,Filipino,Females,Total,70 - 74,30
2015,Filipino,Females,Total,75 - 79,28
2015,Filipino,Females,Total,80 - 84,16
2015,Filipino,Females,Total,85 & Over,18
2015,Caucasian,Total,Total,0 - 4,2411
2015,Caucasian,Total,Total,5-Sep,3239
2015,Caucasian,Total,Total,Oct-14,2521
2015,Caucasian,Total,Total,15 - 19,1656
2015,Caucasian,Total,Total,20 - 24,1053
2015,Caucasian,Total,Total,25 - 29,745
2015,Caucasian,Total,Total,30 - 34,1364
2015,Caucasian,Total,Total,35 - 39,2343
2015,Caucasian,Total,Total,40 - 44,3458
2015,Caucasian,Total,Total,45 - 49,3459
2015,Caucasian,Total,Total,50 - 54,2667
2015,Caucasian,Total,Total,55 - 59,1717
2015,Caucasian,Total,Total,60 - 64,1111
2015,Caucasian,Total,Total,65 - 69,760
2015,Caucasian,Total,Total,70 - 74,384
2015,Caucasian,Total,Total,75 - 79,206
2015,Caucasian,Total,Total,80 - 84,107
