year,level_1,level_2,level_3,value
2015,Total,"Total","5 - 9",215.2
2015,Total,"Total","10 - 14",222.8
2015,Total,"Total","15 - 19",253.9
2015,Total,"Total","20 - 24",254.7
2015,Total,"Total","25 - 29",237.7
2015,Total,"Total","30 - 34",261.9
2015,Total,"Total","35 - 39",286.1
2015,Total,"Total","40 - 44",297.9
2015,Total,"Total","45 - 49",283.1
2015,Total,"Total","50 - 54",298.4
2015,Total,"Total","55 - 59",274.9
2015,Total,"Total","60 - 64",227.5
2015,Total,"Total","65 - 69",170.9
2015,Total,"Total","70 - 74",95
2015,Total,"Total","75 & Over",150.2
2015,English,"Total","5 - 9",128.2
2015,English,"Total","10 - 14",122.6
2015,English,"Total","15 - 19",124.8
2015,English,"Total","20 - 24",112.5
2015,English,"Total","25 - 29",89.6
2015,English,"Total","30 - 34",93.8
2015,English,"Total","35 - 39",107.2
2015,English,"Total","40 - 44",110.3
2015,English,"Total","45 - 49",98.7
2015,English,"Total","50 - 54",96.8
2015,English,"Total","55 - 59",83.9
2015,English,"Total","60 - 64",60.7
2015,English,"Total","65 - 69",41.1
2015,English,"Total","70 - 74",14.8
2015,English,"Total","75 & Over",18
2015,Mandarin,"Total","5 - 9",51.6
2015,Mandarin,"Total","10 - 14",59.2
2015,Mandarin,"Total","15 - 19",81.1
2015,Mandarin,"Total","20 - 24",93.6
2015,Mandarin,"Total","25 - 29",98.7
2015,Mandarin,"Total","30 - 34",109.1
2015,Mandarin,"Total","35 - 39",111.5
2015,Mandarin,"Total","40 - 44",111.2
2015,Mandarin,"Total","45 - 49",105.4
2015,Mandarin,"Total","50 - 54",119.4
2015,Mandarin,"Total","55 - 59",101.8
2015,Mandarin,"Total","60 - 64",85.3
2015,Mandarin,"Total","65 - 69",52.2
2015,Mandarin,"Total","70 - 74",25.9
2015,Mandarin,"Total","75 & Over",25.9
2015,Chinese Dialects-Total,"Total","5 - 9",1.3
2015,Chinese Dialects-Total,"Total","10 - 14",1.5
2015,Chinese Dialects-Total,"Total","15 - 19",2.7
2015,Chinese Dialects-Total,"Total","20 - 24",4
2015,Chinese Dialects-Total,"Total","25 - 29",7.9
2015,Chinese Dialects-Total,"Total","30 - 34",12.9
2015,Chinese Dialects-Total,"Total","35 - 39",21.6
2015,Chinese Dialects-Total,"Total","40 - 44",30.1
2015,Chinese Dialects-Total,"Total","45 - 49",31.9
2015,Chinese Dialects-Total,"Total","50 - 54",34.4
2015,Chinese Dialects-Total,"Total","55 - 59",46
2015,Chinese Dialects-Total,"Total","60 - 64",50.9
2015,Chinese Dialects-Total,"Total","65 - 69",55.1
2015,Chinese Dialects-Total,"Total","70 - 74",42.7
2015,Chinese Dialects-Total,"Total","75 & Over",87.3
2015,Chinese Dialects- Hokkien,"Total","5 - 9",0.1
2015,Chinese Dialects- Hokkien,"Total","10 - 14",0.4
2015,Chinese Dialects- Hokkien,"Total","15 - 19",0.7
2015,Chinese Dialects- Hokkien,"Total","20 - 24",1.6
2015,Chinese Dialects- Hokkien,"Total","25 - 29",3.1
2015,Chinese Dialects- Hokkien,"Total","30 - 34",5.5
2015,Chinese Dialects- Hokkien,"Total","35 - 39",8.5
2015,Chinese Dialects- Hokkien,"Total","40 - 44",13.6
2015,Chinese Dialects- Hokkien,"Total","45 - 49",15.3
2015,Chinese Dialects- Hokkien,"Total","50 - 54",18.4
2015,Chinese Dialects- Hokkien,"Total","55 - 59",25.2
2015,Chinese Dialects- Hokkien,"Total","60 - 64",26.5
2015,Chinese Dialects- Hokkien,"Total","65 - 69",27
2015,Chinese Dialects- Hokkien,"Total","70 - 74",21.7
2015,Chinese Dialects- Hokkien,"Total","75 & Over",37.7
2015,Chinese Dialects- Teochew,"Total","10 - 14",0.2
2015,Chinese Dialects- Teochew,"Total","15 - 19",0.1
2015,Chinese Dialects- Teochew,"Total","20 - 24",0.3
2015,Chinese Dialects- Teochew,"Total","25 - 29",1
2015,Chinese Dialects- Teochew,"Total","30 - 34",1.9
2015,Chinese Dialects- Teochew,"Total","35 - 39",3.5
2015,Chinese Dialects- Teochew,"Total","40 - 44",5.7
2015,Chinese Dialects- Teochew,"Total","45 - 49",5.3
2015,Chinese Dialects- Teochew,"Total","50 - 54",6.2
2015,Chinese Dialects- Teochew,"Total","55 - 59",8.9
2015,Chinese Dialects- Teochew,"Total","60 - 64",10
2015,Chinese Dialects- Teochew,"Total","65 - 69",12.8
2015,Chinese Dialects- Teochew,"Total","70 - 74",10
2015,Chinese Dialects- Teochew,"Total","75 & Over",20.2
2015,Chinese Dialects- Cantonese,"Total","5 - 9",1
2015,Chinese Dialects- Cantonese,"Total","10 - 14",0.9
2015,Chinese Dialects- Cantonese,"Total","15 - 19",1.5
2015,Chinese Dialects- Cantonese,"Total","20 - 24",1.6
2015,Chinese Dialects- Cantonese,"Total","25 - 29",3
2015,Chinese Dialects- Cantonese,"Total","30 - 34",4.4
2015,Chinese Dialects- Cantonese,"Total","35 - 39",7.8
2015,Chinese Dialects- Cantonese,"Total","40 - 44",9
2015,Chinese Dialects- Cantonese,"Total","45 - 49",8.8
2015,Chinese Dialects- Cantonese,"Total","50 - 54",7.7
2015,Chinese Dialects- Cantonese,"Total","55 - 59",10.2
2015,Chinese Dialects- Cantonese,"Total","60 - 64",12.4
2015,Chinese Dialects- Cantonese,"Total","65 - 69",12.8
2015,Chinese Dialects- Cantonese,"Total","70 - 74",9.3
2015,Chinese Dialects- Cantonese,"Total","75 & Over",20.7
2015,Chinese Dialects- Other Chinese Dialects,"Total","5 - 9",0.1
2015,Chinese Dialects- Other Chinese Dialects,"Total","15 - 19",0.3
