year,level_1,level_2,value
2015,Total,"Total",3530.5
2015,English,"Total",1303
2015,Mandarin,"Total",1231.9
2015,Chinese Dialects-Total,"Total",430.3
2015,Chinese Dialects- Hokkien,"Total",205.3
2015,Chinese Dialects- Teochew,"Total",86.5
2015,Chinese Dialects- Cantonese,"Total",111.2
2015,Chinese Dialects- Other Chinese Dialects,"Total",27.4
2015,Malay,"Total",378.7
2015,Indian Languages- Total,"Total",154.3
2015,Indian Languages- Tamil,"Total",117.1
2015,Indian Languages- Other Indian Languages,"Total",37.3
2015,Others,"Total",32.4
