year,level_1,level_2,level_3,value
2015,Chinese,English,"Total",995.5
2015,Chinese,Mandarin,"Total",1227.1
2015,Chinese,Chinese Dialects,"Total",429.4
2015,Chinese,Others,"Total",9.5
2015,Malays,English,"Total",96.2
2015,Malays,Malay,"Total",351.2
2015,Malays,Others,"Total",0.5
2015,Indians,English,"Total",137.4
2015,Indians,Malay,"Total",17.3
2015,Indians,Tamil,"Total",117.1
2015,Indians,Other Indian Languages,"Total",37.3
2015,Indians,Others,"Total",1.1
2015,Others,English,"Total",73.9
2015,Others,Malay,"Total",3.9
2015,Others,Others,"Total",33.2
