year,level_1,level_2,level_3,value
2015,Total,"One Family Nucleus","One Generation",170.5
2015,Total,"One Family Nucleus","Two Generations",704.9
2015,Total,"One Family Nucleus","Three Or More Generations",70.7
2015,Total,"Two Family Nuclei","One Or Two Generations",17.4
2015,Total,"Two Family Nuclei","Three Or More Generations",52.1
2015,English,"One Family Nucleus","One Generation",56.2
2015,English,"One Family Nucleus","Two Generations",272.7
2015,English,"One Family Nucleus","Three Or More Generations",27.4
2015,English,"Two Family Nuclei","One Or Two Generations",4.3
2015,English,"Two Family Nuclei","Three Or More Generations",15.7
2015,Mandarin,"One Family Nucleus","One Generation",56.3
2015,Mandarin,"One Family Nucleus","Two Generations",245.8
2015,Mandarin,"One Family Nucleus","Three Or More Generations",24.5
2015,Mandarin,"Two Family Nuclei","One Or Two Generations",6.2
2015,Mandarin,"Two Family Nuclei","Three Or More Generations",19.9
2015,Chinese Dialects- Total,"One Family Nucleus","One Generation",37.1
2015,Chinese Dialects- Total,"One Family Nucleus","Two Generations",72.8
2015,Chinese Dialects- Total,"One Family Nucleus","Three Or More Generations",6.6
2015,Chinese Dialects- Total,"Two Family Nuclei","One Or Two Generations",2.9
2015,Chinese Dialects- Total,"Two Family Nuclei","Three Or More Generations",6.1
2015,Chinese Dialects- Hokkien,"One Family Nucleus","One Generation",17.3
2015,Chinese Dialects- Hokkien,"One Family Nucleus","Two Generations",33.3
2015,Chinese Dialects- Hokkien,"One Family Nucleus","Three Or More Generations",3.4
2015,Chinese Dialects- Hokkien,"Two Family Nuclei","One Or Two Generations",1.6
2015,Chinese Dialects- Hokkien,"Two Family Nuclei","Three Or More Generations",2.7
2015,Chinese Dialects- Teochew,"One Family Nucleus","One Generation",7.4
2015,Chinese Dialects- Teochew,"One Family Nucleus","Two Generations",14.8
2015,Chinese Dialects- Teochew,"One Family Nucleus","Three Or More Generations",1.2
2015,Chinese Dialects- Teochew,"Two Family Nuclei","One Or Two Generations",0.5
2015,Chinese Dialects- Teochew,"Two Family Nuclei","Three Or More Generations",1.1
2015,Chinese Dialects- Cantonese,"One Family Nucleus","One Generation",10.3
2015,Chinese Dialects- Cantonese,"One Family Nucleus","Two Generations",19.6
2015,Chinese Dialects- Cantonese,"One Family Nucleus","Three Or More Generations",1.7
2015,Chinese Dialects- Cantonese,"Two Family Nuclei","One Or Two Generations",0.8
2015,Chinese Dialects- Cantonese,"Two Family Nuclei","Three Or More Generations",1.7
2015,Chinese Dialects- Other Chinese Dialects,"One Family Nucleus","One Generation",2.1
2015,Chinese Dialects- Other Chinese Dialects,"One Family Nucleus","Two Generations",5.1
2015,Chinese Dialects- Other Chinese Dialects,"One Family Nucleus","Three Or More Generations",0.3
2015,Chinese Dialects- Other Chinese Dialects,"Two Family Nuclei","One Or Two Generations",0.2
2015,Chinese Dialects- Other Chinese Dialects,"Two Family Nuclei","Three Or More Generations",0.6
2015,Malay,"One Family Nucleus","One Generation",12.2
2015,Malay,"One Family Nucleus","Two Generations",70.1
2015,Malay,"One Family Nucleus","Three Or More Generations",8.6
2015,Malay,"Two Family Nuclei","One Or Two Generations",3.1
2015,Malay,"Two Family Nuclei","Three Or More Generations",8.1
2015,Indian Languages- Total,"One Family Nucleus","One Generation",7.2
2015,Indian Languages- Total,"One Family Nucleus","Two Generations",36.2
2015,Indian Languages- Total,"One Family Nucleus","Three Or More Generations",2.9
2015,Indian Languages- Total,"Two Family Nuclei","One Or Two Generations",0.7
2015,Indian Languages- Total,"Two Family Nuclei","Three Or More Generations",2.1
2015,Indian Languages- Tamil,"One Family Nucleus","One Generation",5.1
2015,Indian Languages- Tamil,"One Family Nucleus","Two Generations",26.5
2015,Indian Languages- Tamil,"One Family Nucleus","Three Or More Generations",2.3
2015,Indian Languages- Tamil,"Two Family Nuclei","One Or Two Generations",0.6
2015,Indian Languages- Tamil,"Two Family Nuclei","Three Or More Generations",1.7
2015,Indian Languages- Other Indian Languages,"One Family Nucleus","One Generation",2.1
2015,Indian Languages- Other Indian Languages,"One Family Nucleus","Two Generations",9.6
2015,Indian Languages- Other Indian Languages,"One Family Nucleus","Three Or More Generations",0.6
2015,Indian Languages- Other Indian Languages,"Two Family Nuclei","One Or Two Generations",0.2
2015,Indian Languages- Other Indian Languages,"Two Family Nuclei","Three Or More Generations",0.4
2015,Others,"One Family Nucleus","One Generation",1.5
2015,Others,"One Family Nucleus","Two Generations",7.3
2015,Others,"One Family Nucleus","Three Or More Generations",0.6
2015,Others,"Two Family Nuclei","One Or Two Generations",0.1
2015,Others,"Two Family Nuclei","Three Or More Generations",0.3
