year,level_1,level_2,value
2015,Total,"Total",1059.2
2015,Total,"No Family Nucleus",40.9
2015,Total,"One Family Nucleus",946.1
2015,Total,"Two Family Nuclei",69.4
2015,Total,"Three Or More Family Nuclei",2.8
2015,English,"Total",388.2
2015,English,"No Family Nucleus",11
2015,English,"One Family Nucleus",356.3
2015,English,"Two Family Nuclei",20
2015,English,"Three Or More Family Nuclei",0.9
2015,Mandarin,"Total",363
2015,Mandarin,"No Family Nucleus",9.2
2015,Mandarin,"One Family Nucleus",326.6
2015,Mandarin,"Two Family Nuclei",26.2
2015,Mandarin,"Three Or More Family Nuclei",1
2015,Chinese Dialects- Total,"Total",139.9
2015,Chinese Dialects- Total,"No Family Nucleus",14.2
2015,Chinese Dialects- Total,"One Family Nucleus",116.5
2015,Chinese Dialects- Total,"Two Family Nuclei",9
2015,Chinese Dialects- Total,"Three Or More Family Nuclei",0.2
2015,Chinese Dialects- Hokkien,"Total",64.3
2015,Chinese Dialects- Hokkien,"No Family Nucleus",6
2015,Chinese Dialects- Hokkien,"One Family Nucleus",54
2015,Chinese Dialects- Hokkien,"Two Family Nuclei",4.3
2015,Chinese Dialects- Teochew,"Total",28.2
2015,Chinese Dialects- Teochew,"No Family Nucleus",3.2
2015,Chinese Dialects- Teochew,"One Family Nucleus",23.3
2015,Chinese Dialects- Teochew,"Two Family Nuclei",1.5
2015,Chinese Dialects- Teochew,"Three Or More Family Nuclei",0.2
2015,Chinese Dialects- Cantonese,"Total",38.3
2015,Chinese Dialects- Cantonese,"No Family Nucleus",4.2
2015,Chinese Dialects- Cantonese,"One Family Nucleus",31.6
2015,Chinese Dialects- Cantonese,"Two Family Nuclei",2.5
2015,Chinese Dialects- Other Chinese Dialects,"Total",9.1
2015,Chinese Dialects- Other Chinese Dialects,"No Family Nucleus",0.8
2015,Chinese Dialects- Other Chinese Dialects,"One Family Nucleus",7.5
2015,Chinese Dialects- Other Chinese Dialects,"Two Family Nuclei",0.8
2015,Malay,"Total",106.8
2015,Malay,"No Family Nucleus",4.1
2015,Malay,"One Family Nucleus",90.9
2015,Malay,"Two Family Nuclei",11.1
2015,Malay,"Three Or More Family Nuclei",0.6
2015,Indian Languages- Total,"Total",50.9
2015,Indian Languages- Total,"No Family Nucleus",1.7
2015,Indian Languages- Total,"One Family Nucleus",46.3
2015,Indian Languages- Total,"Two Family Nuclei",2.8
2015,Indian Languages- Total,"Three Or More Family Nuclei",0.1
2015,Indian Languages- Tamil,"Total",37.7
2015,Indian Languages- Tamil,"No Family Nucleus",1.5
2015,Indian Languages- Tamil,"One Family Nucleus",33.9
2015,Indian Languages- Tamil,"Two Family Nuclei",2.2
2015,Indian Languages- Tamil,"Three Or More Family Nuclei",0.1
2015,Indian Languages- Other Indian Languages,"Total",13.2
2015,Indian Languages- Other Indian Languages,"No Family Nucleus",0.2
2015,Indian Languages- Other Indian Languages,"One Family Nucleus",12.4
2015,Indian Languages- Other Indian Languages,"Two Family Nuclei",0.6
2015,Others,"Total",10.4
2015,Others,"No Family Nucleus",0.6
2015,Others,"One Family Nucleus",9.4
2015,Others,"Two Family Nuclei",0.3
2015,Others,"Three Or More Family Nuclei",0.1
