year,level_1,level_2,level_3,value
2015,Total,Total,"Total",3902690
2015,Total,Total,"Ang Mo Kio- Total",174770
2015,Total,Total,"Bedok- Total",289750
2015,Total,Total,"Bishan- Total",90700
2015,Total,Total,"Boon Lay- Total",30
2015,Total,Total,"Bukit Batok- Total",139270
2015,Total,Total,"Bukit Merah- Total",155840
2015,Total,Total,"Bukit Panjang- Total",139030
2015,Total,Total,"Bukit Timah- Total",74470
2015,Total,Total,"Central Water Catchment- Total",10
2015,Total,Total,"Changi- Total",2530
2015,Total,Total,"Choa Chu Kang- Total",174330
2015,Total,Total,"Clementi- Total",91630
2015,Total,Total,"Downtown Core- Total",3720
2015,Total,Total,"Geylang- Total",116960
2015,Total,Total,"Hougang- Total",222310
2015,Total,Total,"Jurong East- Total",84980
2015,Total,Total,"Jurong West- Total",272660
2015,Total,Total,"Kallang- Total",101210
2015,Total,Total,"Lim Chu Kang- Total",90
2015,Total,Total,"Mandai- Total",2120
2015,Total,Total,"Marine Parade- Total",48730
2015,Total,Total,"Museum- Total",380
2015,Total,Total,"Newton- Total",6920
2015,Total,Total,"North-Eastern Islands- Total",60
2015,Total,Total,"Novena- Total",47990
2015,Total,Total,"Orchard- Total",920
2015,Total,Total,"Outram- Total",22080
2015,Total,Total,"Pasir Ris- Total",139890
2015,Total,Total,"Paya Lebar- Total",40
2015,Total,Total,"Pioneer- Total",100
2015,Total,Total,"Punggol- Total",109750
2015,Total,Total,"Queenstown- Total",98050
2015,Total,Total,"River Valley- Total",9190
2015,Total,Total,"Rochor- Total",14590
2015,Total,Total,"Seletar- Total",270
2015,Total,Total,"Sembawang- Total",76530
2015,Total,Total,"Sengkang- Total",206680
2015,Total,Total,"Serangoon- Total",120670
2015,Total,Total,"Singapore River- Total",2720
2015,Total,Total,"Southern Islands- Total",1480
2015,Total,Total,"Sungei Kadut- Total",850
2015,Total,Total,"Tampines- Total",261230
2015,Total,Total,"Tanglin- Total",19000
2015,Total,Total,"Tengah- Total",10
2015,Total,Total,"Toa Payoh- Total",124940
2015,Total,Total,"Tuas- Total",70
2015,Total,Total,"Western Water Catchment- Total",900
2015,Total,Total,"Woodlands- Total",250290
2015,Total,Total,"Yishun- Total",201970
2015,Total,Males,"Total",1916630
2015,Total,Males,"Ang Mo Kio- Total",84220
2015,Total,Males,"Bedok- Total",141220
2015,Total,Males,"Bishan- Total",44110
2015,Total,Males,"Bukit Batok- Total",68650
2015,Total,Males,"Bukit Merah- Total",75450
2015,Total,Males,"Bukit Panjang- Total",69160
2015,Total,Males,"Bukit Timah- Total",34660
2015,Total,Males,"Changi- Total",1300
2015,Total,Males,"Choa Chu Kang- Total",86990
2015,Total,Males,"Clementi- Total",43870
2015,Total,Males,"Downtown Core- Total",1860
2015,Total,Males,"Geylang- Total",58090
2015,Total,Males,"Hougang- Total",109560
2015,Total,Males,"Jurong East- Total",42270
2015,Total,Males,"Jurong West- Total",137560
2015,Total,Males,"Kallang- Total",50410
2015,Total,Males,"Mandai- Total",1000
2015,Total,Males,"Marine Parade- Total",22970
2015,Total,Males,"Museum- Total",190
2015,Total,Males,"Newton- Total",3240
2015,Total,Males,"Novena- Total",23160
2015,Total,Males,"Orchard- Total",430
2015,Total,Males,"Outram- Total",11100
2015,Total,Males,"Pasir Ris- Total",69150
2015,Total,Males,"Punggol- Total",54100
2015,Total,Males,"Queenstown- Total",46230
2015,Total,Males,"River Valley- Total",4260
2015,Total,Males,"Rochor- Total",7410
2015,Total,Males,"Seletar- Total",140
2015,Total,Males,"Sembawang- Total",37910
2015,Total,Males,"Sengkang- Total",101790
2015,Total,Males,"Serangoon- Total",58380
2015,Total,Males,"Singapore River- Total",1310
2015,Total,Males,"Southern Islands- Total",720
2015,Total,Males,"Sungei Kadut- Total",430
2015,Total,Males,"Tampines- Total",128200
2015,Total,Males,"Tanglin- Total",8770
2015,Total,Males,"Toa Payoh- Total",59840
2015,Total,Males,"Western Water Catchment- Total",400
2015,Total,Males,"Woodlands- Total",125900
2015,Total,Males,"Yishun- Total",99990
2015,Total,Females,"Total",1986060
2015,Total,Females,"Ang Mo Kio- Total",90550
2015,Total,Females,"Bedok- Total",148530
2015,Total,Females,"Bishan- Total",46590
2015,Total,Females,"Bukit Batok- Total",70610
2015,Total,Females,"Bukit Merah- Total",80390
2015,Total,Females,"Bukit Panjang- Total",69870
2015,Total,Females,"Bukit Timah- Total",39810
2015,Total,Females,"Changi- Total",1230
