year,level_1,level_2,level_3,value
2015,Total,Total,"Total",3902690
2015,Total,Total,"Below 1",34559
2015,Total,Total,"1",35919
2015,Total,Total,"2",38394
2015,Total,Total,"3",38108
2015,Total,Total,"4",36595
2015,Total,Total,"5",38878
2015,Total,Total,"6",40551
2015,Total,Total,"7",42589
2015,Total,Total,"8",41338
2015,Total,Total,"9",41096
2015,Total,Total,"10",40813
2015,Total,Total,"11",40316
2015,Total,Total,"12",42360
2015,Total,Total,"13",42993
2015,Total,Total,"14",47906
2015,Total,Total,"15",47181
2015,Total,Total,"16",45547
2015,Total,Total,"17",49005
2015,Total,Total,"18",49987
2015,Total,Total,"19",51182
2015,Total,Total,"20",51683
2015,Total,Total,"21",52925
2015,Total,Total,"22",52445
2015,Total,Total,"23",52013
2015,Total,Total,"24",55061
2015,Total,Total,"25",53813
2015,Total,Total,"26",59717
2015,Total,Total,"27",55903
2015,Total,Total,"28",49340
2015,Total,Total,"29",52257
2015,Total,Total,"30",55717
2015,Total,Total,"31",54762
2015,Total,Total,"32",59378
2015,Total,Total,"33",60328
2015,Total,Total,"34",60434
2015,Total,Total,"35",59899
2015,Total,Total,"36",60485
2015,Total,Total,"37",58359
2015,Total,Total,"38",62443
2015,Total,Total,"39",59881
2015,Total,Total,"40",60833
2015,Total,Total,"41",63483
2015,Total,Total,"42",65902
2015,Total,Total,"43",63942
2015,Total,Total,"44",62595
2015,Total,Total,"45",59147
2015,Total,Total,"46",58817
2015,Total,Total,"47",60799
2015,Total,Total,"48",60722
2015,Total,Total,"49",63928
2015,Total,Total,"50",63010
2015,Total,Total,"51",64879
2015,Total,Total,"52",63350
2015,Total,Total,"53",61899
2015,Total,Total,"54",61953
2015,Total,Total,"55",61523
2015,Total,Total,"56",60709
2015,Total,Total,"57",59023
2015,Total,Total,"58",58126
2015,Total,Total,"59",55682
2015,Total,Total,"60",53107
2015,Total,Total,"61",51637
2015,Total,Total,"62",48063
2015,Total,Total,"63",45291
2015,Total,Total,"64",42395
2015,Total,Total,"65",42339
2015,Total,Total,"66",40266
2015,Total,Total,"67",37914
2015,Total,Total,"68",37179
2015,Total,Total,"69",24727
2015,Total,Total,"70",19074
2015,Total,Total,"71",23113
2015,Total,Total,"72",19408
2015,Total,Total,"73",19277
2015,Total,Total,"74",21759
2015,Total,Total,"75",21031
2015,Total,Total,"76",19593
2015,Total,Total,"77",15605
2015,Total,Total,"78",12601
2015,Total,Total,"79",12381
2015,Total,Total,"80",13457
2015,Total,Total,"81",11424
2015,Total,Total,"82",10054
2015,Total,Total,"83",9013
2015,Total,Total,"84",7837
2015,Total,Total,"85",7181
2015,Total,Total,"86",6493
2015,Total,Total,"87",5505
2015,Total,Total,"88",4687
2015,Total,Total,"89",3628
2015,Total,Total,"90",2893
2015,Total,Total,"91",2360
2015,Total,Total,"92",1996
2015,Total,Total,"93",1550
2015,Total,Total,"94",1212
2015,Total,Total,"95",979
2015,Total,Total,"96",715
2015,Total,Total,"97",573
2015,Total,Total,"98",416
2015,Total,Total,"99",299
2015,Total,Total,"100 & Over",1176
2015,Total,Males,"Total",1916628
2015,Total,Males,"Below 1",17749
2015,Total,Males,"1",18345
2015,Total,Males,"2",19704
2015,Total,Males,"3",19409
2015,Total,Males,"4",18645
2015,Total,Males,"5",19647
2015,Total,Males,"6",20649
2015,Total,Males,"7",21537
2015,Total,Males,"8",21145
2015,Total,Males,"9",20883
2015,Total,Males,"10",20726
2015,Total,Males,"11",20576
2015,Total,Males,"12",21482
2015,Total,Males,"13",22032
2015,Total,Males,"14",24585
2015,Total,Males,"15",24200
