year,level_1,level_2,value
2005,Overall Crime Cases Recorded,Crimes Against Persons,4093
2005,Overall Crime Cases Recorded,Violent / Serious Property Crimes,1190
2005,Overall Crime Cases Recorded,Housebreaking And Related Crimes,1551
2005,Overall Crime Cases Recorded,Theft And Related Crimes,22711
2005,Overall Crime Cases Recorded,Commercial Crimes,3389
2005,Overall Crime Cases Recorded,Miscellaneous Crimes,4159
2006,Overall Crime Cases Recorded,Crimes Against Persons,3708
2006,Overall Crime Cases Recorded,Violent / Serious Property Crimes,1004
2006,Overall Crime Cases Recorded,Housebreaking And Related Crimes,1201
2006,Overall Crime Cases Recorded,Theft And Related Crimes,20301
2006,Overall Crime Cases Recorded,Commercial Crimes,3159
2006,Overall Crime Cases Recorded,Miscellaneous Crimes,3890
2007,Overall Crime Cases Recorded,Crimes Against Persons,3719
2007,Overall Crime Cases Recorded,Violent / Serious Property Crimes,1027
2007,Overall Crime Cases Recorded,Housebreaking And Related Crimes,926
2007,Overall Crime Cases Recorded,Theft And Related Crimes,19556
2007,Overall Crime Cases Recorded,Commercial Crimes,3565
2007,Overall Crime Cases Recorded,Miscellaneous Crimes,4003
2008,Overall Crime Cases Recorded,Crimes Against Persons,3926
2008,Overall Crime Cases Recorded,Violent / Serious Property Crimes,962
2008,Overall Crime Cases Recorded,Housebreaking And Related Crimes,898
2008,Overall Crime Cases Recorded,Theft And Related Crimes,19918
2008,Overall Crime Cases Recorded,Commercial Crimes,3488
2008,Overall Crime Cases Recorded,Miscellaneous Crimes,3921
2009,Overall Crime Cases Recorded,Crimes Against Persons,3907
2009,Overall Crime Cases Recorded,Violent / Serious Property Crimes,751
2009,Overall Crime Cases Recorded,Housebreaking And Related Crimes,1025
2009,Overall Crime Cases Recorded,Theft And Related Crimes,20445
2009,Overall Crime Cases Recorded,Commercial Crimes,3359
2009,Overall Crime Cases Recorded,Miscellaneous Crimes,3699
2010,Overall Crime Cases Recorded,Crimes Against Persons,4177
2010,Overall Crime Cases Recorded,Violent / Serious Property Crimes,567
2010,Overall Crime Cases Recorded,Housebreaking And Related Crimes,896
2010,Overall Crime Cases Recorded,Theft And Related Crimes,19560
2010,Overall Crime Cases Recorded,Commercial Crimes,3804
2010,Overall Crime Cases Recorded,Miscellaneous Crimes,4148
2011,Overall Crime Cases Recorded,Crimes Against Persons,3969
2011,Overall Crime Cases Recorded,Violent / Serious Property Crimes,443
2011,Overall Crime Cases Recorded,Housebreaking And Related Crimes,706
2011,Overall Crime Cases Recorded,Theft And Related Crimes,18314
2011,Overall Crime Cases Recorded,Commercial Crimes,3880
2011,Overall Crime Cases Recorded,Miscellaneous Crimes,4196
2012,Overall Crime Cases Recorded,Crimes Against Persons,3824
2012,Overall Crime Cases Recorded,Violent / Serious Property Crimes,389
2012,Overall Crime Cases Recorded,Housebreaking And Related Crimes,598
2012,Overall Crime Cases Recorded,Theft And Related Crimes,18476
2012,Overall Crime Cases Recorded,Commercial Crimes,3507
2012,Overall Crime Cases Recorded,Miscellaneous Crimes,4221
2013,Overall Crime Cases Recorded,Crimes Against Persons,3822
2013,Overall Crime Cases Recorded,Violent / Serious Property Crimes,418
2013,Overall Crime Cases Recorded,Housebreaking And Related Crimes,543
2013,Overall Crime Cases Recorded,Theft And Related Crimes,17075
2013,Overall Crime Cases Recorded,Commercial Crimes,3947
2013,Overall Crime Cases Recorded,Miscellaneous Crimes,4179
2014,Overall Crime Cases Recorded,Crimes Against Persons,4269
2014,Overall Crime Cases Recorded,Violent / Serious Property Crimes,535
2014,Overall Crime Cases Recorded,Housebreaking And Related Crimes,360
2014,Overall Crime Cases Recorded,Theft And Related Crimes,16722
2014,Overall Crime Cases Recorded,Commercial Crimes,5687
