year,level_1,value
2005,Overall Crime Cases Recorded,37093
2006,Overall Crime Cases Recorded,33263
2007,Overall Crime Cases Recorded,32796
2008,Overall Crime Cases Recorded,33113
2009,Overall Crime Cases Recorded,33186
2010,Overall Crime Cases Recorded,33152
2011,Overall Crime Cases Recorded,31508
2012,Overall Crime Cases Recorded,31015
2013,Overall Crime Cases Recorded,29984
2014,Overall Crime Cases Recorded,32315
2015,Overall Crime Cases Recorded,33839
2016,Overall Crime Cases Recorded,33099
2017,Overall Crime Cases Recorded,32668
2018,Overall Crime Cases Recorded,33126
2019,Overall Crime Cases Recorded,35209
