year,level_1,level_2,value
2005,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,96
2005,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,28
2005,"Overall Crime Rate Per 100,000 Population",Housebreaking And Related Crimes,36
2005,"Overall Crime Rate Per 100,000 Population",Theft And Related Crimes,532
2005,"Overall Crime Rate Per 100,000 Population",Commercial Crimes,79
2005,"Overall Crime Rate Per 100,000 Population",Miscellaneous Crimes,97
2006,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,84
2006,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,23
2006,"Overall Crime Rate Per 100,000 Population",Housebreaking And Related Crimes,27
2006,"Overall Crime Rate Per 100,000 Population",Theft And Related Crimes,461
2006,"Overall Crime Rate Per 100,000 Population",Commercial Crimes,72
2006,"Overall Crime Rate Per 100,000 Population",Miscellaneous Crimes,88
2007,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,81
2007,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,22
2007,"Overall Crime Rate Per 100,000 Population",Housebreaking And Related Crimes,20
2007,"Overall Crime Rate Per 100,000 Population",Theft And Related Crimes,426
2007,"Overall Crime Rate Per 100,000 Population",Commercial Crimes,78
2007,"Overall Crime Rate Per 100,000 Population",Miscellaneous Crimes,87
2008,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,81
2008,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,20
2008,"Overall Crime Rate Per 100,000 Population",Housebreaking And Related Crimes,19
2008,"Overall Crime Rate Per 100,000 Population",Theft And Related Crimes,412
2008,"Overall Crime Rate Per 100,000 Population",Commercial Crimes,72
2008,"Overall Crime Rate Per 100,000 Population",Miscellaneous Crimes,81
2009,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,78
2009,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,15
2009,"Overall Crime Rate Per 100,000 Population",Housebreaking And Related Crimes,21
2009,"Overall Crime Rate Per 100,000 Population",Theft And Related Crimes,410
2009,"Overall Crime Rate Per 100,000 Population",Commercial Crimes,67
2009,"Overall Crime Rate Per 100,000 Population",Miscellaneous Crimes,74
2010,"Overall Crime Rate Per 100,000 Population",Crimes Against Persons,82
2010,"Overall Crime Rate Per 100,000 Population",Violent / Serious Property Crimes,11
